id,title_no,par_id,source
932469,NA10C/1465,5019377,LINZ
932469,NA10C/1465,5019377,LINZ
932471,NA10C/1467,5067731,LINZ
932472,NA10C/1468,4716989,LINZ
932474,NA10C/147,4806142,LINZ
932476,NA10C/1473,4708410,LINZ
932477,NA10C/1474,5101953,LINZ
932478,NA10C/1475,4977092,LINZ
932479,NA10C/1476,4994295,LINZ
932480,NA10C/1477,4773667,LINZ
932481,NA10C/1478,5019323,LINZ
932482,NA10C/1479,4855193,LINZ
932483,NA10C/148,4823474,LINZ
932484,NA10C/1482,4890654,LINZ
932485,NA10C/1483,4898530,LINZ
932486,NA10C/1484,4966054,LINZ
932487,NA10C/1486,5159613,LINZ
932488,NA10C/1487,4752221,LINZ
932489,NA10C/1488,5128913,LINZ
932490,NA10C/1489,5162152,LINZ
932491,NA10C/149,4947498,LINZ
932492,NA10C/1490,5128883,LINZ
932493,NA10C/1493,4852912,LINZ
932495,NA10C/1495,4896938,LINZ
932496,NA10C/1496,5113587,LINZ
932497,NA10C/1497,4701867,LINZ
932498,NA10C/1498,4762495,LINZ
932499,NA10C/1499,4763258,LINZ
932500,NA10C/150,4792521,LINZ
932501,NA10C/1500,5148897,LINZ
932502,NA10C/151,5076377,LINZ
932503,NA10C/152,5049227,LINZ
932504,NA10C/153,5049293,LINZ
932505,NA10C/154,4990481,LINZ
932506,NA10C/155,4746991,LINZ
932507,NA10C/156,5049284,LINZ
932508,NA10C/157,5081960,LINZ
932509,NA10C/158,4822564,LINZ
932510,NA10C/162,4824069,LINZ
932511,NA10C/164,4953095,LINZ
932512,NA10C/165,5049286,LINZ
932513,NA10C/166,5076744,LINZ
932514,NA10C/167,5178549,LINZ
932515,NA10C/169,4954468,LINZ
932516,NA10C/170,4792515,LINZ
932517,NA10C/171,4826214,LINZ
932518,NA10C/172,4920840,LINZ
932519,NA10C/174,5049287,LINZ
932520,NA10C/175,5047727,LINZ
932521,NA10C/176,5178550,LINZ
932522,NA10C/178,4824789,LINZ
932523,NA10C/179,4953074,LINZ
932524,NA10C/180,4998629,LINZ
932525,NA10C/181,4869791,LINZ
932526,NA10C/182,4869793,LINZ
932527,NA10C/183,5127408,LINZ
932528,NA10C/184,4869792,LINZ
932529,NA10C/185,5127407,LINZ
932530,NA10C/186,4959034,LINZ
932531,NA10C/187,5129048,LINZ
932532,NA10C/188,4871401,LINZ
932533,NA10C/189,4743268,LINZ
932535,NA10C/190,4711481,LINZ
932536,NA10C/191,4839957,LINZ
932537,NA10C/192,5099301,LINZ
932538,NA10C/193,4842067,LINZ
932539,NA10C/195,5099267,LINZ
932540,NA10C/197,4970756,LINZ
932541,NA10C/198,4970757,LINZ
932542,NA10C/199,4912837,LINZ
932543,NA10C/20,4993051,LINZ
932544,NA10C/200,4973139,LINZ
932545,NA10C/201,5090366,LINZ
932546,NA10C/202,4973025,LINZ
932547,NA10C/203,4827455,LINZ
932548,NA10C/204,5102047,LINZ
932549,NA10C/205,4973026,LINZ
932550,NA10C/206,5102279,LINZ
932552,NA10C/209,4711478,LINZ
932553,NA10C/210,4704194,LINZ
932554,NA10C/214,4761166,LINZ
932555,NA10C/215,5097217,LINZ
932556,NA10C/217,4968282,LINZ
932557,NA10C/219,4839946,LINZ
932559,NA10C/220,4968346,LINZ
932560,NA10C/223,4711472,LINZ
932561,NA10C/224,5097215,LINZ
932562,NA10C/225,4761110,LINZ
932563,NA10C/226,4968351,LINZ
932565,NA10C/228,5107120,LINZ
932566,NA10C/229,4741948,LINZ
932567,NA10C/23,5024503,LINZ
932568,NA10C/230,4870056,LINZ
932569,NA10C/231,4998698,LINZ
932570,NA10C/232,4713013,LINZ
932571,NA10C/233,4968347,LINZ
932572,NA10C/234,5097208,LINZ
932573,NA10C/235,4711474,LINZ
932574,NA10C/236,5097207,LINZ
932575,NA10C/237,4968348,LINZ
932576,NA10C/238,4839947,LINZ
932577,NA10C/239,5049274,LINZ
932578,NA10C/24,5122223,LINZ
932579,NA10C/240,4792503,LINZ
932580,NA10C/241,4920830,LINZ
932581,NA10C/242,5178540,LINZ
932582,NA10C/243,4690725,LINZ
932583,NA10C/244,5049275,LINZ
932584,NA10C/245,5049281,LINZ
932585,NA10C/246,4792511,LINZ
932586,NA10C/247,5178547,LINZ
932587,NA10C/248,4690807,LINZ
932588,NA10C/249,4920836,LINZ
932589,NA10C/250,4953535,LINZ
932590,NA10C/251,4920832,LINZ
932591,NA10C/252,4792509,LINZ
932592,NA10C/254,4792512,LINZ
932593,NA10C/255,5053048,LINZ
932594,NA10C/256,4847923,LINZ
932595,NA10C/257,4796265,LINZ
932596,NA10C/258,5160555,LINZ
932597,NA10C/259,5168881,LINZ
932598,NA10C/26,4720457,LINZ
932599,NA10C/260,4796272,LINZ
932600,NA10C/261,4796260,LINZ
932601,NA10C/262,5161828,LINZ
932602,NA10C/265,5015826,LINZ
932603,NA10C/267,5157579,LINZ
932604,NA10C/269,4899775,LINZ
932605,NA10C/272,5158005,LINZ
932606,NA10C/273,5192322,LINZ
932607,NA10C/274,4752620,LINZ
932608,NA10C/275,4982754,LINZ
932609,NA10C/276,4880987,LINZ
932611,NA10C/278,5140856,LINZ
932613,NA10C/283,4881674,LINZ
932614,NA10C/285,5156601,LINZ
932615,NA10C/286,4842443,LINZ
932616,NA10C/287,4772028,LINZ
932617,NA10C/290,4899848,LINZ
932618,NA10C/291,5028334,LINZ
932619,NA10C/292,4746712,LINZ
932620,NA10C/293,5137787,LINZ
932621,NA10C/295,4707219,LINZ
932622,NA10C/296,5090728,LINZ
932623,NA10C/298,5115790,LINZ
932624,NA10C/300,4965762,LINZ
932625,NA10C/302,5188922,LINZ
932626,NA10C/303,4844391,LINZ
932627,NA10C/304,4723269,LINZ
932628,NA10C/305,5078553,LINZ
932629,NA10C/306,5079245,LINZ
932630,NA10C/307,4693470,LINZ
932631,NA10C/308,4696545,LINZ
932633,NA10C/310,5077287,LINZ
932634,NA10C/311,5077943,LINZ
932635,NA10C/313,5156221,LINZ
932636,NA10C/314,4949285,LINZ
932637,NA10C/315,4770333,LINZ
932638,NA10C/316,5139971,LINZ
932639,NA10C/317,4882258,LINZ
932640,NA10C/318,5139983,LINZ
932641,NA10C/319,5083657,LINZ
932642,NA10C/320,4922833,LINZ
932643,NA10C/321,5083658,LINZ
932644,NA10C/322,4826480,LINZ
932645,NA10C/323,4697852,LINZ
932646,NA10C/324,4953117,LINZ
932647,NA10C/325,4754162,LINZ
932648,NA10C/326,5139970,LINZ
932649,NA10C/327,4882255,LINZ
932650,NA10C/328,4692757,LINZ
932651,NA10C/329,5078549,LINZ
932652,NA10C/330,4852142,LINZ
932653,NA10C/331,4724094,LINZ
932654,NA10C/332,5108114,LINZ
932655,NA10C/333,4999570,LINZ
932656,NA10C/334,4852330,LINZ
932657,NA10C/335,4954197,LINZ
932658,NA10C/336,5083512,LINZ
932659,NA10C/337,4980717,LINZ
932660,NA10C/338,4852438,LINZ
932661,NA10C/339,4723270,LINZ
932662,NA10C/34,4889488,LINZ
932663,NA10C/341,4724466,LINZ
932666,NA10C/346,5169780,LINZ
932667,NA10C/350,5149546,LINZ
932668,NA10C/354,5110783,LINZ
932669,NA10C/355,5181457,LINZ
932671,NA10C/359,5093366,LINZ
932672,NA10C/36,5060079,LINZ
932673,NA10C/361,4923972,LINZ
932674,NA10C/362,4801813,LINZ
932675,NA10C/363,4712508,LINZ
932676,NA10C/364,5007762,LINZ
932677,NA10C/365,4879217,LINZ
932678,NA10C/366,5057792,LINZ
932679,NA10C/368,4723946,LINZ
932680,NA10C/370,5056894,LINZ
932681,NA10C/371,4736643,LINZ
932682,NA10C/372,4791104,LINZ
932683,NA10C/373,4924644,LINZ
932684,NA10C/376,4766402,LINZ
932685,NA10C/377,5058539,LINZ
932686,NA10C/378,4704533,LINZ
932687,NA10C/38,5031302,LINZ
932688,NA10C/382,5019434,LINZ
932689,NA10C/383,5179745,LINZ
932690,NA10C/384,5073385,LINZ
932691,NA10C/385,4938356,LINZ
932692,NA10C/386,5122854,LINZ
932693,NA10C/387,5038377,LINZ
932695,NA10C/391,4861730,LINZ
932695,NA10C/391,4861730,LINZ
932696,NA10C/392,4966739,LINZ
932697,NA10C/393,5137826,LINZ
932698,NA10C/394,4709765,LINZ
932699,NA10C/395,4726605,LINZ
